ลำดับที่,MEMBER TYPE,CODE,NAME,CARD ID,ADDRESS,SUB DISTRICT,DISTRICT,PROVINCE,CONTACT,ROUTE,MOBILE,LINE,LOCATION,REMARK,BRANCH CODE,STATUS,Ref
1,ขายปลีก 15,VP07022,พะเนียงแตก,xxxxxxxxxxxxx,,,,,,VP07,xxxxxxxxxxxx,,"13.8042,100.0215",,xxxxx,Active,OLD
2,ขายปลีก 15,VP07035,เจ้ขวัญ,xxxxxxxxxxxxx,M62-23,,,,,VP07,xxxxxxxxxxxx,,"13.8078,100.0805",,xxxxx,Active,OLD
3,ขายปลีก 15,VP10001,เอกโชห่วย 1,,"M62-33,S61-65",,,,คุณพัชรี,VP10,086-1660017,,"13.856188,100.073711",,,Active,OLD
4,ขายปลีก 15,VP10005,เจ้ปู ของชำ,,"E63-12,M61-03",,,,คุณจำเริญ,VP10,084-8016054,,"13.853164,100.098053",,,Active,OLD
5,ขายปลีก 15,VP07054,ป้าแอ๊ด,***,,,,,,VP07,095-5875870,,"13.8650289,100.07821433",,**,Active,OLD
6,ขายปลีก 15,VP14000,ขายสด,,,,,,,VP14,,,,,,Active,OLD
7,ขายปลีก 15,VP14001,ร้านน้ำปั่น รร. โดม 1,,,,,,,VP14,,,,,,Active,OLD
8,ขายปลีก 15,VP14002,ร้านกาแฟ รร. โดม 1,***,,,,,,VP14,*****,,,,**,Active,OLD
9,ขายปลีก 15,VP14003,ร้านก๋วยเตี๋ยว รร. โดม 1,,,,,,,VP14,,,,,,Active,OLD
10,ขายปลีก 15,VP14004,ร้านข้าวหมูแดง รร. โดม 1,***,,,,,,VP14,***,,,,**,Active,OLD
11,ขายปลีก 15,VP14005,ร้านข้าวแกง โดม 1 รร.,***,,,,,,VP14,*****,,,,**,Active,OLD
12,ขายปลีก 15,VP14006,ร้านผลไม้ โดม 1 รร.,***,,,,,,VP14,*****,,,,*****,Active,OLD
