Code,Name,Surname,,,,,Status,Contact,line_id,lct,rou_id,ที่อยู่,กลุ่มลูกค้า,ประเภท,เบอร์โทร,count
ระบุ รหัสของร้านค้า,ระบุชื่อร้านค้า,รหัสสาขา,ที่อยู่ส่งของ,ที่อยู่ใบกำกับ,เครคิด,เครคิด,สถานะการใช้งาน,ชื่อผู้ติดต่อ,ไลน์,"ละติจูด,ลองติจูด",รหัสของ Route ,"ใส่ขนาดถัง , เลขที่ถัง",,,เบอร์โทร,1
,,,,,,,,,,,,,,,,1
CU-2100001,สน. บรมราชชนนี ขาเข้า,CC1799,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100002,สน. ราชพฤกษ์ 1,CC2844,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100003,ม.สยาม,SC1853,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100004,The Mall บางแค ชั้น 1,SC0899,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100005,อเมซอนหน้ากรมแรงงาน,ไม่ระบุ,,20 ถนนบรมราชชนนี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพฯ 10170,30,30 วัน,,,,,AZ01,,AZ,AZ01,092-2947926,1
CU-2100006,รพ.เกษมราษฎร์ บางแค ,ไม่ระบุ,,586 ถนนเพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพฯ 10160,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100007,หม่อมถนัดแดก ,ไม่ระบุ,,"8/5,8/6 ถนนรัชดา-รามอีนทรา แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพฯ 10230",30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100008,ร้านขนมจีนบางกอก,ไม่ระบุ,,,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100009,ร้านฮั่วเช่งฮง1,ไม่ระบุ,,41 ซอยสุภาพงษ์ 3 แยก 5-2 แขวงหนองบอน เขตประเวศ กรุงเทพฯ 10250,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100010,ร้านเทียนกงข้าวมันไก่,ไม่ระบุ,,,,,,,,,AZ01,,AZ,AZ01,062-2501250,1
CU-2100011,ลิ้มเหล่าโหงว,ไม่ระบุ,,,,,,,,,AZ01,,AZ,AZ01,,1
CU-2100012,อเมซอนหนองแขม,CC3763,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10899,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100013,อเมซอนสวนผ้า,CC3794,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ01,,AZ,AZ01,,1
CU-2100014,รปภ.,AZ01,,,,,,,,,AZ01,,AZ,AZ01,,1
CU-2100015,ธรรมศาลา,CC2160,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100016,อเมซอน สาย 7,ไม่ระบุ,,64/31 หมู่ที่ 1 ตำบลขุนแก้ว  อำเภอนครชัยศรี จังหวัดนครปฐม 73120,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100017,ตลาดพลู  ธนบุรี,SC3118,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100018,ตลาดครอบครัว  ท่าพระ,SC3348,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100019,The Mall ท่าพระ,SC1674,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100020,ร้านผลไม้ ตลาดครอบครัวท่าพระ,ไม่ระบุ,,,,,,,,,AZ02,,AZ,AZ01,098-4646828,1
CU-2100021,น้ำปั่นพี่ใช้ ท่าพระ ,ไม่ระบุ,,,,,,,,,AZ02,,AZ,AZ01,,1
CU-2100022,อเมซอน สาย 2 ,ไม่ระบุ,,42/33 ห้องเลขที่ C201 แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพฯ 10170,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100023,หมีพ่นไฟ สาย 7,ไม่ระบุ,,,,,,,,,AZ02,,AZ,AZ01,,1
CU-2100024,ป้าแดงข้าวแกง,ไม่ระบุ,,,,,,,,,AZ02,,AZ,AZ01,,1
CU-2100025,ร้านฮั่วเช่งฮง2,ไม่ระบุ,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ02,,AZ,AZ01,,1
CU-2100026,รปภ.,AZ02,,,,,,,,,AZ02,,AZ,AZ01,,1
CU-2100027,กฟผ.,SC1606,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ03,,AZ,AZ01,093-125-1978,1
CU-2100028,อาคารศรีสวรินทิรา รพ.ศิริราช,SC3434,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ03,,AZ,AZ01,064-952-3618,1
CU-2100029,คณะพยาบาลศาสตร์ รพ.ศิริราช,SC2069,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ03,,AZ,AZ01,096-248-5951,1
CU-2100030,สถานีรถไฟธนบุรี,SC2977,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ03,,AZ,AZ01,091-868-5727,1
CU-2100031,กรมสวัสดิการทหารเรือ,SC2895,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ03,,AZ,AZ01,092-296-1926,1
CU-2100032,Central ปิ่นเกล้า,SC1483,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ03,,AZ,AZ01,085-999-5622,1
