sset No,Asset Name,Description,Status,ลูกค้า,สายส่ง,ตัวเลือก
1,001,001,200L,,,,
2,002,002,200L,,,,
3,003,003,200L,,,,
4,004,004,200L,,,,
5,005,005,200L,,,,
6,006,006,200L,,,,
7,007,007,200L,,,,
8,008,008,130L,,,,
9,009,009,130L,,,,
10,010,010,130L,,,,
11,011,011,130L,,,,
12,012,012,130L,,,,
13,013,013,200L,,,,
14,014,014,130L,,,,
15,015,015,130L,,,,
16,016,016,200L,,,,
17,017,017,200L,,,,
18,018,018,200L,,,,
19,019,019,200L,,,,
20,020,020,200L,,,,
21,021,021,200L,,,,
22,022,022,200L,,,,
23,,023,200L,,,,
24,S24-001,041,200L,,,,
25,S24-002,042,200L,,,,
26,S24-003,043,200L,,,,
27,S24-004,044,200L,,,,
28,S24-005,045,200L,,,,
29,S24-006,046,200L,,,,
30,S24-007,047,200L,,,,
31,S24-008,048,200L,,,,
32,S24-009,049,200L,,,,
33,S24-010,050,200L,,,,
34,S24-011,051,200L,,,,
35,S24-012,052,200L,,,,
36,S24-013,053,200L,,,,
37,S24-014,054,200L,,,,
38,S24-015,055,200L,,,,
39,S24-016,056,200L,,,,
40,S24-017,057,200L,,,,
41,S24-018,058,200L,,,,
42,S24-019,059,200L,,,,
43,S24-020,060,200L,,,,
44,S24-021,061,200L,,,,
45,S24-022,062,200L,,,,
46,S24-023,063,200L,,,,
47,S24-024,064,200L,,,,
48,S24-025,065,200L,,,,
49,S24-026,066,200L,,,,
50,S24-027,067,200L,,,,
51,S24-028,068,200L,,,,
52,S24-029,069,200L,,,,
53,S24-030,070,200L,,,,
54,S24-031,071,200L,,,,
55,S24-032,072,200L,,,,
56,S24-033,073,200L,,,,
57,S24-034,074,200L,,,,
58,S24-035,075,200L,,,,
59,S24-036,076,200L,,,,
60,S24-037,077,200L,,,,
61,S24-038,078,200L,,,,
62,S24-039,079,200L,,,,
63,S24-040,080,200L,,,,
64,S24-041,081,200L,,,,
65,S24-042,082,200L,,,,
66,S24-043,083,200L,,,,
67,S24-044,084,200L,,,,
68,S24-045,085,200L,,,,
69,S24-046,086,200L,,,,
70,S24-047,087,200L,,,,
71,S24-048,088,200L,,,,
72,S24-049,089,200L,,,,
73,S24-050,090,200L,,,,
74,S24-051,091,200L,,,,
75,S24-052,092,200L,,,,
76,S24-053,093,200L,,,,
77,S24-054,094,200L,,,,
78,S24-055,095,200L,,,,
79,S24-056,096,200L,,,,
80,S24-057,097,200L,,,,
81,S24-058,098,200L,,,,
82,S24-059,099,200L,,,,
83,S24-060,100,200L,,,,
84,S24-061,101,200L,,,,
85,S24-062,102,200L,,,,
86,S24-063,103,200L,,,,
87,W24-001,104,130L,,,,
88,W24-002,105,130L,,,,
89,W24-003,106,130L,,,,
90,W24-004,107,130L,,,,
91,W24-005,108,130L,,,,
92,W24-006,109,130L,,,,
93,W24-007,110,130L,,,,
94,W24-008,111,130L,,,,
95,W24-009,112,130L,,,,
96,W24-010,113,130L,,,,
97,W24-011,114,130L,,,,
98,A24-001,115,100L,,,,
99,A24-002,116,100L,,,,
100,A24-003,117,100L,,,,
101,A24-004,118,100L,,,,
102,A24-005,119,100L,,,,
103,A24-006,120,100L,,,,
104,A24-007,121,100L,,,,
105,A24-008,122,100L,,,,
106,A24-009,123,100L,,,,
107,A24-010,124,100L,,,,
108,A24-011,125,100L,,,,
109,A24-012,126,100L,,,,
110,A24-013,127,100L,,,,
111,A24-014,128,100L,,,,
112,A24-015,129,100L,,,,
113,A24-016,130,100L,,,,
114,A24-017,131,100L,,,,
115,A24-018,132,100L,,,,
116,A24-019,133,100L,,,,
117,A24-020,134,100L,,,,
118,A24-021,135,100L,,,,
119,A24-022,136,100L,,,,
120,A24-023,137,100L,,,,
121,A24-024,138,100L,,,,
122,A24-025,139,100L,,,,
123,A24-026,140,100L,,,,
124,A24-027,141,100L,,,,
125,A24-028,142,100L,,,,
126,A24-029,143,100L,,,,
127,A24-030,144,100L,,,,
128,A24-031,145,100L,,,,
129,A24-032,146,100L,,,,
130,A24-033,147,100L,,,,
131,A24-034,148,100L,,,,
132,A24-035,149,100L,,,,
133,A24-036,150,100L,,,,
134,A24-037,151,100L,,,,
135,A24-038,152,100L,,,,
136,A24-039,153,100L,,,,
137,A24-040,154,100L,,,,
138,A24-041,155,100L,,,,
139,A24-042,156,100L,,,,
140,A24-043,157,100L,,,,
141,A24-044,158,100L,,,,
142,A24-045,159,100L,,,,
143,A24-046,160,100L,,,,
144,D24-001,161,150L,,,,
145,D24-002,162,150L,,,,
146,D24-003,163,150L,,,,
147,D24-004,164,150L,,,,
148,D24-005,165,150L,,,,
149,D24-006,166,150L,,,,
150,D24-007,167,150L,,,,
151,D24-008,168,150L,,,,
152,D24-009,169,150L,,,,
153,D24-010,170,150L,,,,
154,D24-011,171,150L,,,,
155,D24-012,172,150L,,,,
156,D24-013,173,150L,,,,
157,D24-014,174,150L,,,,
158,D24-015,175,150L,,,,
159,D24-016,176,150L,,,,
160,D24-017,177,150L,,,,
161,D24-018,178,150L,,,,
162,D24-019,179,150L,,,,
163,D24-020,180,150L,,,,
164,D24-021,181,150L,,,,
165,D24-022,182,150L,,,,
166,D24-023,183,150L,,,,
167,,184,130L,,,,
168,D24-024,185,150L,,,,
169,D24-025,186,150L,,,,
170,D24-026,187,150L,,,,
171,D24-027,188,150L,,,,
172,D24-028,189,150L,,,,
173,D24-029,190,150L,,,,
174,D24-030,191,150L,,,,
175,D24-031,192,150L,,,,
176,D24-032,193,150L,,,,
177,D24-033,194,150L,,,,
178,D24-034,195,150L,,,,
179,D24-035,196,150L,,,,
180,D24-036,197,150L,,,,
181,D24-037,198,150L,,,,
182,D24-038,199,150L,,,,
183,D24-039,200,150L,,,,
