sset No,Description,Status,ราคาเช่า,
118,A24-010,100L,ใช้งาน,150,1
103,A24-025,100L,ใช้งาน,150,1
99,A24-029,100L,ใช้งาน,150,1
97,A24-031,100L,ใช้งาน,150,1
96,A24-032,100L,ใช้งาน,150,1
95,A24-033,100L,ใช้งาน,150,1
91,A24-037,100L,ใช้งาน,150,1
88,A24-040,100L,ใช้งาน,150,1
86,A24-042,100L,ใช้งาน,150,1
84,A24-044,100L,ใช้งาน,150,1
82,A24-046,100L,ใช้งาน,150,1
2143,A61-01,100L,ใช้งาน,150,1
2139,A61-05,100L,ใช้งาน,150,1
2138,A61-06,100L,ใช้งาน,150,1
2137,A61-07,100L,ใช้งาน,150,1
2136,A61-08,100L,ใช้งาน,150,1
2128,A61-16,100L,ใช้งาน,150,1
2126,A61-18,100L,ใช้งาน,150,1
2124,A61-20,100L,ใช้งาน,150,1
2123,A61-21,100L,ใช้งาน,150,1
499,A61-27,100L,ใช้งาน,150,1
2115,A61-30,100L,ใช้งาน,150,1
2114,A61-31,100L,ใช้งาน,150,1
2109,A61-36,100L,ใช้งาน,150,1
2108,A61-37,100L,ใช้งาน,150,1
2101,A61-44,100L,ใช้งาน,150,1
2099,A61-46,100L,ใช้งาน,150,1
2097,A61-48,100L,ใช้งาน,150,1
2084,A62-01,100L,ใช้งาน,150,1
2081,A62-04,100L,ใช้งาน,150,1
2080,A62-05,100L,ใช้งาน,150,1
2077,A62-08,100L,ใช้งาน,150,1
2076,A62-09,100L,ใช้งาน,150,1
1984,A62-101,100L,ใช้งาน,150,1
1974,A62-111,100L,ใช้งาน,150,1
1970,A62-115,100L,ใช้งาน,150,1
1967,A62-118,100L,ใช้งาน,150,1
1966,A62-119,100L,ใช้งาน,150,1
1965,A62-120,100L,ใช้งาน,150,1
2072,A62-13,100L,ใช้งาน,150,1
2071,A62-14,100L,ใช้งาน,150,1
2070,A62-15,100L,ใช้งาน,150,1
2069,A62-16,100L,ใช้งาน,150,1
2067,A62-18,100L,ใช้งาน,150,1
2063,A62-22,100L,ใช้งาน,150,1
2062,A62-23,100L,ใช้งาน,150,1
2061,A62-24,100L,ใช้งาน,150,1
2060,A62-25,100L,ใช้งาน,150,1
2056,A62-29,100L,ใช้งาน,150,1
2055,A62-30,100L,ใช้งาน,150,1
2054,A62-31,100L,ใช้งาน,150,1
2046,A62-39,100L,ใช้งาน,150,1
2043,A62-42,100L,ใช้งาน,150,1
2040,A62-45,100L,ใช้งาน,150,1
2039,A62-46,100L,ใช้งาน,150,1
2036,A62-49,100L,ใช้งาน,150,1
2032,A62-53,100L,ใช้งาน,150,1
2028,A62-57,100L,ใช้งาน,150,1
2025,A62-60,100L,ใช้งาน,150,1
2020,A62-65,100L,ใช้งาน,150,1
2016,A62-69,100L,ใช้งาน,150,1
2014,A62-71,100L,ใช้งาน,150,1
3,A62-75,100L,ใช้งาน,150,1
2008,A62-77,100L,ใช้งาน,150,1
2006,A62-79,100L,ใช้งาน,150,1
2004,A62-81,100L,ใช้งาน,150,1
2002,A62-83,100L,ใช้งาน,150,1
2001,A62-84,100L,ใช้งาน,150,1
2000,A62-85,100L,ใช้งาน,150,1
1999,A62-86,100L,ใช้งาน,150,1
1996,A62-89,100L,ใช้งาน,150,1
1995,A62-90,100L,ใช้งาน,150,1
1994,A62-91,100L,ใช้งาน,150,1
1992,A62-93,100L,ใช้งาน,150,1
